ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,After2014,Expensive
RACE 07,2007.0,83,1637,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3.99,0,0
GTR 2 FIA GT Racing Game,2012.0,0,132,False,False,False,False,False,False,False,False,True,False,False,True,True,False,7.99,0,0
Civilization IV: Beyond the Sword,2007.0,86,780,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
BioShock(r) 2,2010.0,88,7624,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
BioShock Infinite,2013.0,94,55512,False,False,False,True,False,False,False,False,False,False,False,False,False,False,29.99,0,1
Freedom Force,2009.0,90,242,False,False,False,False,False,False,True,True,False,False,False,False,False,False,4.99,0,0
Sid Meiers Civilization(r) V,2010.0,90,85750,False,False,False,False,False,False,True,False,False,False,False,False,False,False,29.99,0,1
Borderlands,2009.0,81,15545,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99,0,0
Spear of Destiny,2007.0,0,122,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,0,0
Return to Castle Wolfenstein,2007.0,88,1533,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
QUAKE Mission Pack 1: Scourge of Armagon,2007.0,0,118,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,0,0
DOOM 3,2007.0,87,1645,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
HeXen II,2007.0,0,137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Master Levels for Doom II,2007.0,0,181,True,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,0,0
Commander Keen,2007.0,0,510,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
RAGE,2011.0,79,8176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
RAGE,2011.0,79,8176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Warhammer(r) 40000: Dawn of War(r) - Winter Assault,2007.0,0,377,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99,0,0
Company of Heroes: Opposing Fronts,2007.0,87,457,False,False,False,True,False,False,True,False,False,False,False,False,False,False,19.99,0,0
Supreme Commander,2011.0,86,782,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,0,0
Supreme Commander: Forged Alliance,2011.0,81,2834,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,0,0
Warhammer(r) 40000: Dawn of War(r) - Soulstorm,2008.0,0,2696,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99,0,0
Frontlines(tm): Fuel of War(tm),2008.0,73,438,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Saints Row 2,2009.0,72,6867,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Gish,2007.0,80,219,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Death to Spies,2008.0,69,450,False,False,False,True,True,False,False,False,False,False,False,False,False,False,4.99,0,0
Ghostbusters: The Videogame,2009.0,74,1518,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Champions Online,2011.0,72,2160,True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0,0
Star Trek Online,2012.0,76,7304,True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0,0
Test Drive Unlimited 2,2011.0,72,5972,False,False,False,False,False,False,False,False,False,False,False,False,True,False,19.99,0,0
Blade Kitten,2014.0,52,670,False,False,False,True,True,False,False,False,False,False,False,False,False,False,2.99,0,0
Ghostbusters: Sanctum of Slime,2011.0,43,105,False,False,False,True,True,False,False,False,False,False,False,False,False,False,9.99,0,0
Call of Duty: World at War,2008.0,83,13072,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Space Quest(tm) Collection,2009.0,0,103,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99,0,0
TimeShift(tm),2009.0,71,571,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Prototype(tm),2009.0,79,2122,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,0,0
Call of Duty(r): Modern Warfare(r) 2,2009.0,86,22223,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Call of Duty(r): Modern Warfare(r) 2,2009.0,86,22223,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Postal III,2012.0,24,1045,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,0,0
